trade_date,open,high,low,close,volume,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d,amount
20220303,0.921,0.921,0.903,0.906,209396.0,209396.0,0.91665,0.9622333333333334,0.96811,202422.198,167833.59949999998,0.0235999999999999,0.0225499999999999,-0.0108947883727914,-0.0122934593962426,0.0027973420469022,25.75250836120401,28.093645484949835,27.730142759179508,-1.521739130434785,
20220304,0.898,0.902,0.88,0.892,223368.0,223368.0,0.91545,0.9607666666666668,0.96822,210555.798,175187.7995,0.0233999999999999,0.0221499999999999,-0.0123708932616534,-0.0123089461693247,-0.0001238941846573,25.0814332247557,30.61889250814333,22.839602013375607,-2.6200873362445476,
20220307,0.893,0.897,0.851,0.862,320712.0,320712.0,0.91335,0.9587333333333332,0.968095,233455.998,185741.7995,0.0235999999999999,0.0226,-0.0157795692485207,-0.0130030707851639,-0.0055529969267135,22.448979591836732,35.86005830903791,18.926903600677196,-4.6460176991150455,
20220308,0.86,0.867,0.839,0.844,183439.0,183439.0,0.91005,0.9567,0.967855,227192.8,188572.2495,0.0241,0.0226999999999999,-0.0197062576228638,-0.0143437081527039,-0.0107250989403197,17.280453257790356,38.24362606232296,17.228092207988258,-7.252747252747261,
20220309,0.852,0.852,0.795,0.837,213176.0,213176.0,0.90555,0.9545333333333332,0.96763,230018.2,194056.8995,0.0282,0.0245999999999999,-0.0231165546953792,-0.0160982774612389,-0.0140365544682804,15.521628498727727,44.0203562340967,16.206741186637238,-9.708737864077676,
20220310,0.863,0.863,0.839,0.84,194786.0,194786.0,0.90165,0.9520166666666666,0.967355,227096.2,199819.1495,0.0259,0.0252499999999999,-0.0252856871060921,-0.0179357593902096,-0.014699855431765,15.089514066496156,44.2455242966752,15.92650593982916,-8.496732026143794,
20220311,0.825,0.848,0.8,0.847,197542.0,197542.0,0.89885,0.9494666666666666,0.967055,221931.0,204563.9995,0.0288,0.0264999999999999,-0.0261385892842165,-0.019576325369011,-0.013124527830411,3.7974683544303858,53.67088607594936,21.285037017458446,-6.2015503875969,
20220314,0.84,0.843,0.818,0.822,185726.0,185726.0,0.8953,0.9466,0.9666,194933.8,210054.6495,0.03,0.0270499999999999,-0.0285032438193941,-0.0213617090590876,-0.014283069520613,3.740648379052373,51.12219451371571,26.90441763683907,-7.950727883538644,
20220315,0.809,0.83,0.788,0.789,174722.0,174722.0,0.88975,0.943,0.966005,193190.4,215973.5995,0.0331999999999999,0.0286499999999999,-0.0326635487250815,-0.0236220769922864,-0.0180829434655903,3.512880562060893,55.03512880562058,32.540781273202704,-12.333333333333329,
20220316,0.793,0.823,0.781,0.821,234587.0,234587.0,0.8856000000000002,0.9398666666666669,0.96555,197472.6,223593.0995,0.0361999999999999,0.0298499999999999,-0.0329981061443513,-0.0254972828226994,-0.0150016466433039,3.5714285714285747,49.28571428571426,38.27195887938031,-9.18141592920355,
20220317,0.825,0.846,0.825,0.836,191414.0,191414.0,0.88255,0.9370666666666666,0.965235,196798.2,228902.7995,0.0368999999999999,0.0302499999999999,-0.0316875957902824,-0.026735345416216,-0.0099045007481328,8.920187793427239,48.59154929577462,43.199072582004206,-6.800445930880716,
20220318,0.835,0.835,0.825,0.834,151488.0,151488.0,0.8779999999999999,0.9342166666666666,0.964735,187587.4,227455.6495,0.0353999999999999,0.0293999999999999,-0.0304592746206809,-0.027480131257109,-0.0059582867271439,9.047619047619056,47.14285714285712,47.879349931773085,-9.83783783783785,
20220321,0.834,0.838,0.822,0.833,180030.0,180030.0,0.8718499999999999,0.9315333333333334,0.964065,186448.2,213879.7995,0.0323999999999999,0.0279999999999999,-0.0292295725690482,-0.0278300195194968,-0.0027991060991027,7.981220657277004,46.478873239436595,52.53422013032849,-12.866108786610877,
20220322,0.83,0.837,0.826,0.83,168757.0,168757.0,0.86645,0.9290833333333332,0.96341,185255.2,208548.0495,0.0306999999999999,0.0273999999999999,-0.0281723464879222,-0.0278984849131819,-0.0005477231494805,8.000000000000007,45.41176470588233,56.94212866819297,-11.513859275053306,
20220323,0.829,0.835,0.827,0.829,162040.0,162040.0,0.8604499999999999,0.9263666666666668,0.96275,170745.8,204766.6495,0.0257999999999999,0.0269999999999999,-0.0271027551538444,-0.0277393389613144,0.00127316761494,8.192771084337359,44.33734939759033,61.54637962266331,-12.644889357218126,
20220324,0.829,0.829,0.809,0.813,165197.0,165197.0,0.85555,0.9233166666666668,0.962005,165502.4,197954.7495,0.0251999999999999,0.0255499999999999,-0.0272322462151355,-0.0276379204120786,0.0008113483938862,8.312958435207834,43.76528117359408,65.698779401453,-10.757409440175635,
